is_incident_related,customer_affected,incident_stage,one_line_summary,call_id,call_type,title,start_time,baseline_sentiment_score,one_line_summary_alternative
True,,escalation,"War room call convened approximately 4 hours into the Detect pipeline outage to assess the single-node memory failure, coordinate immediate remediation efforts, and address the 90-minute delay in customer communication that led to enterprise customer escalations.",01KQ38C4101D6774F2F02331,internal,INCIDENT: Detect Pipeline Failure - War Room,2026-03-10 13:15:00+00:00,1.8,
True,Cobalt Software,detection,"Cobalt Software's VP of Infrastructure called to report their Detect dashboard was completely down for 45 minutes, prompting David Kim to discover and escalate a platform-wide event processing pipeline failure as a P1 incident.",01KQEDB92E33CF9945A7F71B,external,URGENT: Cobalt Software - Aegis Detect Dashboard Down,2026-03-10 13:15:00+00:00,1.8,
True,,escalation,"Engineering, customer success, and support leadership convened on an escalation bridge to align on the scope of the complete Detect pipeline failure (affecting all customers since 2:47 AM), discuss root cause (single point of failure in ingestion layer), and coordinate customer communication strategy for an estimated 4-8 hour restoration window.",01KQ46A9DE0AECB006D897A0,internal,Detect Outage - Escalation Bridge,2026-03-11 11:00:00+00:00,1.8,
True,Trailhead Marketplace,customer_impact,"Isaac Brennan from Trailhead Marketplace called support frustrated about a 15+ hour Detect outage affecting their retail platform's threat monitoring, expressing serious concerns about PCI compliance and fraud exposure while criticizing the lack of proactive communication from Aegis.",01KQ7BF0D56037FF89DC89B6,support,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,2026-03-11 17:45:00+00:00,1.4,
True,Northstar Pharma,customer_impact,"Grace Yoon from Northstar Pharma expressed serious concerns about a six-hour Detect outage that left her HIPAA-regulated pharma company without threat monitoring visibility, threatening their June renewal after this became the second reliability incident in eight months.",01KQ351E141926AB7CAB668D,external,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,2026-03-12 12:15:00+00:00,2.1,
True,,customer_impact,"Internal team assessed widespread customer impact from the six-hour Detect outage, with 47 support tickets logged and key enterprise accounts like Meridian Financial and Fortex expressing dissatisfaction about the lack of redundancy in the event ingestion pipeline.",01KQ2331EFD78BF3B1CAB747,internal,Detect Outage - Customer Impact Assessment,2026-03-12 13:45:00+00:00,1.8,
True,Blackridge Investments,customer_impact,"Julia Tran from Blackridge Investments escalated a critical P1 ticket after experiencing over three hours of complete threat visibility loss, expressing frustration over lack of proactive communication while Marcus confirmed the known pipeline outage affecting multiple customers with an estimated two-hour restoration timeline.",01KQ2D93184912F0147315E7,external,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,2026-03-12 15:45:00+00:00,1.6,
True,Ridgeline Logistics,customer_impact,"Ridgeline Logistics reported complete loss of Detect dashboard visibility since March 11th at 11 PM, affecting monitoring of their OT networks and SCADA systems, with Aegis support confirming a platform-wide event ingestion pipeline failure and committing to Sev 1 escalation.",01KQ94C2B8B9B4668F3D3491,support,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,2026-03-13 10:30:00+00:00,2.1,
True,,retrospective,"The engineering team conducted a root cause analysis identifying that an out-of-memory error on a single-point-of-failure ingestion node caused a six-hour cascading pipeline failure, exacerbated by missing circuit breakers and inadequate health checks that had been previously flagged but deprioritized.",01KQE110900B8A65D80AE694,internal,Detect Outage - Root Cause Analysis,2026-03-14 14:30:00+00:00,2.4,
True,Ridgeline Logistics,customer_impact,"Aegis support lead Priya Patel confirmed to Ridgeline customer Paula Schneider that multi-day alert latency issues (45-60 minute delays) were caused by an Aegis-side cascading failure in the Detect event processing pipeline, apologized for lack of proactive communication, and discussed the security gap created for their OT/manufacturing environments.",01KQ325BDEDEE927D2970775,support,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,2026-03-14 17:15:00+00:00,2.4,
True,Northstar Pharma,escalation,"Northstar Pharma's VP of IT and security team escalated concerns about the nine-hour Detect outage creating HIPAA compliance risks and potential SOC 2 audit findings, with the customer expressing anger over lack of proactive notification and considering competitor platforms.",01KQ88B8EAEAA819C26CCBE7,external,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,2026-03-15 14:30:00+00:00,2.1,Senior support rep Elena Vasquez handled an escalation call with Northstar Pharma leadership who were never proactively notified of the platform-wide Detect outage and face compliance audit risks due to the nine-hour monitoring gap.
True,,remediation,Engineering and leadership reviewed the root cause (single point of failure in event ingestion) and aligned on a two-part remediation plan involving redundant active-active nodes and circuit breaker implementation to restore customer threat monitoring visibility.,01KQ03B0303900521BB089CA,internal,Detect Outage - Remediation Plan Review,2026-03-16 09:30:00+00:00,2.4,
True,Helix Data,retrospective,"Aegis conducted a post-incident review with Helix's Charles Ng, who expressed frustration about the six-hour outage, two-hour notification delay, and disclosed that Helix is now evaluating competitor VaultEdge due to this incident and ongoing product concerns.",01KQ8C5A044F54EE1774D53C,external,Aegis / Helix Data - Post-Incident Review,2026-03-17 11:45:00+00:00,2.3,
True,Forge Industries,resolution,"Support engineer Elena Vasquez confirmed full restoration of Detect services to Forge Industries customer Dana Moretti on March 18th, explaining the root cause (single point of failure in event ingestion) and architectural fixes (redundant nodes and circuit breaker pattern) implemented after the March 10th outage.",01KQ5D47170D4828E89EDE37,support,Support Case #7537 - Forge Industries Detect Recovery Confirmation,2026-03-18 14:45:00+00:00,3.4,
True,,retrospective,"Tom Bradley led a post-incident review of the March 10th Detect outage, explaining the root cause (single point of failure in event ingestion), deployed fixes (redundant nodes and circuit breaker), and coordinating with Diana on customer communications while Megan outlined planned product improvements including a status indicator.",01KQ3CE40428CCC5FF433FFC,internal,Detect Outage - Post-Incident Review,2026-03-18 16:30:00+00:00,2.8,
